len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
87,62,-25,25,0.28735632183908044,71,-16,16,0.1839080459770115,83,-4,4,0.04597701149425287,83,-4,4,0.04597701149425287,82,-5,5,0.05747126436781609,76,-11,11,0.12643678160919541,67,-20,20,0.22988505747126436,83,-4,4,0.04597701149425287,92,5,5,0.05747126436781609
83,90,7,7,0.08433734939759036,87,4,4,0.04819277108433735,87,4,4,0.04819277108433735,87,4,4,0.04819277108433735,87,4,4,0.04819277108433735,87,4,4,0.04819277108433735,87,4,4,0.04819277108433735,90,7,7,0.08433734939759036,75,-8,8,0.0963855421686747
205,208,3,3,0.014634146341463415,222,17,17,0.08292682926829269,228,23,23,0.11219512195121951,198,-7,7,0.03414634146341464,217,12,12,0.05853658536585366,229,24,24,0.11707317073170732,197,-8,8,0.03902439024390244,192,-13,13,0.06341463414634146,191,-14,14,0.06829268292682927
96,95,-1,1,0.010416666666666666,91,-5,5,0.052083333333333336,99,3,3,0.03125,75,-21,21,0.21875,96,0,0,0.0,88,-8,8,0.08333333333333333,102,6,6,0.0625,79,-17,17,0.17708333333333334,93,-3,3,0.03125
254,221,-33,33,0.12992125984251968,259,5,5,0.01968503937007874,260,6,6,0.023622047244094488,258,4,4,0.015748031496062992,258,4,4,0.015748031496062992,249,-5,5,0.01968503937007874,262,8,8,0.031496062992125984,270,16,16,0.06299212598425197,262,8,8,0.031496062992125984
233,197,-36,36,0.15450643776824036,221,-12,12,0.05150214592274678,228,-5,5,0.02145922746781116,221,-12,12,0.05150214592274678,228,-5,5,0.02145922746781116,209,-24,24,0.10300429184549356,198,-35,35,0.15021459227467812,243,10,10,0.04291845493562232,219,-14,14,0.060085836909871244
183,178,-5,5,0.0273224043715847,155,-28,28,0.15300546448087432,170,-13,13,0.07103825136612021,170,-13,13,0.07103825136612021,165,-18,18,0.09836065573770492,161,-22,22,0.12021857923497267,161,-22,22,0.12021857923497267,179,-4,4,0.02185792349726776,161,-22,22,0.12021857923497267
160,158,-2,2,0.0125,152,-8,8,0.05,152,-8,8,0.05,152,-8,8,0.05,152,-8,8,0.05,162,2,2,0.0125,169,9,9,0.05625,173,13,13,0.08125,154,-6,6,0.0375
82,76,-6,6,0.07317073170731707,74,-8,8,0.0975609756097561,69,-13,13,0.15853658536585366,69,-13,13,0.15853658536585366,73,-9,9,0.10975609756097561,74,-8,8,0.0975609756097561,74,-8,8,0.0975609756097561,74,-8,8,0.0975609756097561,73,-9,9,0.10975609756097561
105,94,-11,11,0.10476190476190476,109,4,4,0.0380952380952381,111,6,6,0.05714285714285714,111,6,6,0.05714285714285714,111,6,6,0.05714285714285714,100,-5,5,0.047619047619047616,88,-17,17,0.1619047619047619,91,-14,14,0.13333333333333333,98,-7,7,0.06666666666666667
249,267,18,18,0.07228915662650602,260,11,11,0.04417670682730924,261,12,12,0.04819277108433735,261,12,12,0.04819277108433735,261,12,12,0.04819277108433735,228,-21,21,0.08433734939759036,231,-18,18,0.07228915662650602,247,-2,2,0.008032128514056224,249,0,0,0.0
125,119,-6,6,0.048,127,2,2,0.016,123,-2,2,0.016,127,2,2,0.016,127,2,2,0.016,131,6,6,0.048,132,7,7,0.056,121,-4,4,0.032,122,-3,3,0.024
