len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
57,124,67,67,1.1754385964912282,119,62,62,1.087719298245614,121,64,64,1.1228070175438596,123,66,66,1.1578947368421053
25,45,20,20,0.8,43,18,18,0.72,38,13,13,0.52,44,19,19,0.76
18,33,15,15,0.8333333333333334,24,6,6,0.3333333333333333,26,8,8,0.4444444444444444,26,8,8,0.4444444444444444
66,176,110,110,1.6666666666666667,152,86,86,1.303030303030303,143,77,77,1.1666666666666667,137,71,71,1.0757575757575757
96,193,97,97,1.0104166666666667,179,83,83,0.8645833333333334,185,89,89,0.9270833333333334,196,100,100,1.0416666666666667
17,30,13,13,0.7647058823529411,36,19,19,1.1176470588235294,35,18,18,1.0588235294117647,35,18,18,1.0588235294117647
68,125,57,57,0.8382352941176471,102,34,34,0.5,100,32,32,0.47058823529411764,109,41,41,0.6029411764705882
42,91,49,49,1.1666666666666667,94,52,52,1.2380952380952381,88,46,46,1.0952380952380953,69,27,27,0.6428571428571429
11,25,14,14,1.2727272727272727,19,8,8,0.7272727272727273,17,6,6,0.5454545454545454,17,6,6,0.5454545454545454
57,105,48,48,0.8421052631578947,115,58,58,1.0175438596491229,107,50,50,0.8771929824561403,115,58,58,1.0175438596491229
52,92,40,40,0.7692307692307693,100,48,48,0.9230769230769231,92,40,40,0.7692307692307693,86,34,34,0.6538461538461539
34,76,42,42,1.2352941176470589,54,20,20,0.5882352941176471,63,29,29,0.8529411764705882,55,21,21,0.6176470588235294
39,70,31,31,0.7948717948717948,93,54,54,1.3846153846153846,92,53,53,1.358974358974359,88,49,49,1.2564102564102564
73,164,91,91,1.2465753424657535,153,80,80,1.095890410958904,146,73,73,1.0,152,79,79,1.082191780821918
18,37,19,19,1.0555555555555556,30,12,12,0.6666666666666666,41,23,23,1.2777777777777777,25,7,7,0.3888888888888889
45,83,38,38,0.8444444444444444,88,43,43,0.9555555555555556,97,52,52,1.1555555555555554,98,53,53,1.1777777777777778
27,67,40,40,1.4814814814814814,71,44,44,1.6296296296296295,60,33,33,1.2222222222222223,60,33,33,1.2222222222222223
32,83,51,51,1.59375,76,44,44,1.375,81,49,49,1.53125,59,27,27,0.84375
28,60,32,32,1.1428571428571428,71,43,43,1.5357142857142858,66,38,38,1.3571428571428572,61,33,33,1.1785714285714286
47,89,42,42,0.8936170212765957,118,71,71,1.5106382978723405,103,56,56,1.1914893617021276,94,47,47,1.0
30,75,45,45,1.5,58,28,28,0.9333333333333333,58,28,28,0.9333333333333333,60,30,30,1.0
82,214,132,132,1.6097560975609757,151,69,69,0.8414634146341463,179,97,97,1.1829268292682926,174,92,92,1.1219512195121952
18,37,19,19,1.0555555555555556,28,10,10,0.5555555555555556,38,20,20,1.1111111111111112,38,20,20,1.1111111111111112
38,70,32,32,0.8421052631578947,67,29,29,0.7631578947368421,64,26,26,0.6842105263157895,75,37,37,0.9736842105263158
41,103,62,62,1.5121951219512195,111,70,70,1.7073170731707317,110,69,69,1.6829268292682926,103,62,62,1.5121951219512195
16,27,11,11,0.6875,27,11,11,0.6875,29,13,13,0.8125,27,11,11,0.6875
26,55,29,29,1.1153846153846154,55,29,29,1.1153846153846154,50,24,24,0.9230769230769231,48,22,22,0.8461538461538461
58,118,60,60,1.0344827586206897,128,70,70,1.206896551724138,108,50,50,0.8620689655172413,122,64,64,1.103448275862069
30,51,21,21,0.7,61,31,31,1.0333333333333334,58,28,28,0.9333333333333333,58,28,28,0.9333333333333333
14,34,20,20,1.4285714285714286,30,16,16,1.1428571428571428,36,22,22,1.5714285714285714,32,18,18,1.2857142857142858
67,168,101,101,1.507462686567164,158,91,91,1.3582089552238805,155,88,88,1.3134328358208955,174,107,107,1.5970149253731343
20,52,32,32,1.6,44,24,24,1.2,48,28,28,1.4,36,16,16,0.8
42,101,59,59,1.4047619047619047,112,70,70,1.6666666666666667,104,62,62,1.4761904761904763,86,44,44,1.0476190476190477
21,79,58,58,2.761904761904762,71,50,50,2.380952380952381,71,50,50,2.380952380952381,67,46,46,2.1904761904761907
62,180,118,118,1.903225806451613,165,103,103,1.6612903225806452,151,89,89,1.435483870967742,142,80,80,1.2903225806451613
52,88,36,36,0.6923076923076923,80,28,28,0.5384615384615384,94,42,42,0.8076923076923077,101,49,49,0.9423076923076923
36,58,22,22,0.6111111111111112,58,22,22,0.6111111111111112,57,21,21,0.5833333333333334,53,17,17,0.4722222222222222
36,91,55,55,1.5277777777777777,76,40,40,1.1111111111111112,86,50,50,1.3888888888888888,72,36,36,1.0
90,239,149,149,1.6555555555555554,193,103,103,1.1444444444444444,208,118,118,1.3111111111111111,226,136,136,1.511111111111111
48,147,99,99,2.0625,135,87,87,1.8125,122,74,74,1.5416666666666667,129,81,81,1.6875
51,92,41,41,0.803921568627451,97,46,46,0.9019607843137255,100,49,49,0.9607843137254902,94,43,43,0.8431372549019608
108,223,115,115,1.0648148148148149,224,116,116,1.0740740740740742,212,104,104,0.9629629629629629,194,86,86,0.7962962962962963
33,88,55,55,1.6666666666666667,95,62,62,1.878787878787879,96,63,63,1.9090909090909092,102,69,69,2.090909090909091
68,138,70,70,1.0294117647058822,150,82,82,1.2058823529411764,148,80,80,1.1764705882352942,147,79,79,1.161764705882353
73,149,76,76,1.0410958904109588,154,81,81,1.1095890410958904,140,67,67,0.9178082191780822,153,80,80,1.095890410958904
43,129,86,86,2.0,125,82,82,1.9069767441860466,134,91,91,2.116279069767442,120,77,77,1.7906976744186047
36,122,86,86,2.388888888888889,122,86,86,2.388888888888889,99,63,63,1.75,77,41,41,1.1388888888888888
93,261,168,168,1.8064516129032258,215,122,122,1.3118279569892473,262,169,169,1.8172043010752688,262,169,169,1.8172043010752688
29,74,45,45,1.5517241379310345,73,44,44,1.5172413793103448,70,41,41,1.4137931034482758,70,41,41,1.4137931034482758
45,100,55,55,1.2222222222222223,105,60,60,1.3333333333333333,85,40,40,0.8888888888888888,81,36,36,0.8
33,80,47,47,1.4242424242424243,74,41,41,1.2424242424242424,74,41,41,1.2424242424242424,71,38,38,1.1515151515151516
63,121,58,58,0.9206349206349206,124,61,61,0.9682539682539683,106,43,43,0.6825396825396826,115,52,52,0.8253968253968254
50,146,96,96,1.92,112,62,62,1.24,111,61,61,1.22,105,55,55,1.1
44,104,60,60,1.3636363636363635,93,49,49,1.1136363636363635,88,44,44,1.0,92,48,48,1.0909090909090908
73,183,110,110,1.5068493150684932,131,58,58,0.7945205479452054,152,79,79,1.082191780821918,166,93,93,1.273972602739726
38,101,63,63,1.6578947368421053,69,31,31,0.8157894736842105,81,43,43,1.131578947368421,67,29,29,0.7631578947368421
39,101,62,62,1.5897435897435896,102,63,63,1.6153846153846154,81,42,42,1.0769230769230769,76,37,37,0.9487179487179487
57,143,86,86,1.5087719298245614,140,83,83,1.456140350877193,129,72,72,1.263157894736842,131,74,74,1.2982456140350878
41,109,68,68,1.6585365853658536,97,56,56,1.3658536585365855,122,81,81,1.975609756097561,111,70,70,1.7073170731707317
90,112,22,22,0.24444444444444444,134,44,44,0.4888888888888889,124,34,34,0.37777777777777777,131,41,41,0.45555555555555555
45,82,37,37,0.8222222222222222,90,45,45,1.0,91,46,46,1.0222222222222221,72,27,27,0.6
126,183,57,57,0.4523809523809524,196,70,70,0.5555555555555556,198,72,72,0.5714285714285714,223,97,97,0.7698412698412699
42,81,39,39,0.9285714285714286,73,31,31,0.7380952380952381,81,39,39,0.9285714285714286,81,39,39,0.9285714285714286
51,130,79,79,1.5490196078431373,60,9,9,0.17647058823529413,104,53,53,1.0392156862745099,117,66,66,1.2941176470588236
58,92,34,34,0.5862068965517241,161,103,103,1.7758620689655173,130,72,72,1.2413793103448276,109,51,51,0.8793103448275862
71,215,144,144,2.028169014084507,183,112,112,1.5774647887323943,189,118,118,1.6619718309859155,153,82,82,1.1549295774647887
