len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
104,325,221,221,2.125,242,138,138,1.3269230769230769,294,190,190,1.8269230769230769,244,140,140,1.3461538461538463
102,295,193,193,1.892156862745098,255,153,153,1.5,277,175,175,1.7156862745098038,259,157,157,1.5392156862745099
52,144,92,92,1.7692307692307692,142,90,90,1.7307692307692308,145,93,93,1.7884615384615385,149,97,97,1.8653846153846154
102,229,127,127,1.2450980392156863,226,124,124,1.2156862745098038,226,124,124,1.2156862745098038,208,106,106,1.0392156862745099
56,135,79,79,1.4107142857142858,136,80,80,1.4285714285714286,146,90,90,1.6071428571428572,132,76,76,1.3571428571428572
51,152,101,101,1.9803921568627452,118,67,67,1.3137254901960784,142,91,91,1.7843137254901962,137,86,86,1.6862745098039216
61,186,125,125,2.0491803278688523,186,125,125,2.0491803278688523,174,113,113,1.8524590163934427,161,100,100,1.639344262295082
81,258,177,177,2.185185185185185,245,164,164,2.0246913580246915,254,173,173,2.1358024691358026,215,134,134,1.654320987654321
70,228,158,158,2.257142857142857,240,170,170,2.4285714285714284,283,213,213,3.0428571428571427,195,125,125,1.7857142857142858
56,146,90,90,1.6071428571428572,130,74,74,1.3214285714285714,134,78,78,1.3928571428571428,131,75,75,1.3392857142857142
51,130,79,79,1.5490196078431373,137,86,86,1.6862745098039216,109,58,58,1.1372549019607843,132,81,81,1.588235294117647
64,206,142,142,2.21875,176,112,112,1.75,174,110,110,1.71875,148,84,84,1.3125
52,173,121,121,2.326923076923077,173,121,121,2.326923076923077,194,142,142,2.730769230769231,137,85,85,1.6346153846153846
80,198,118,118,1.475,157,77,77,0.9625,228,148,148,1.85,176,96,96,1.2
88,248,160,160,1.8181818181818181,257,169,169,1.9204545454545454,271,183,183,2.0795454545454546,243,155,155,1.7613636363636365
105,333,228,228,2.1714285714285713,309,204,204,1.9428571428571428,282,177,177,1.6857142857142857,252,147,147,1.4
66,179,113,113,1.7121212121212122,145,79,79,1.196969696969697,180,114,114,1.7272727272727273,171,105,105,1.5909090909090908
49,160,111,111,2.2653061224489797,142,93,93,1.8979591836734695,118,69,69,1.4081632653061225,118,69,69,1.4081632653061225
68,193,125,125,1.838235294117647,207,139,139,2.0441176470588234,173,105,105,1.5441176470588236,180,112,112,1.6470588235294117
101,278,177,177,1.7524752475247525,227,126,126,1.2475247524752475,248,147,147,1.4554455445544554,257,156,156,1.5445544554455446
73,215,142,142,1.9452054794520548,191,118,118,1.6164383561643836,209,136,136,1.8630136986301369,183,110,110,1.5068493150684932
54,204,150,150,2.7777777777777777,184,130,130,2.4074074074074074,161,107,107,1.9814814814814814,158,104,104,1.9259259259259258
