len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
92,131,39,39,0.42391304347826086,123,31,31,0.33695652173913043,115,23,23,0.25,114,22,22,0.2391304347826087,113,21,21,0.22826086956521738,114,22,22,0.2391304347826087,135,43,43,0.4673913043478261,120,28,28,0.30434782608695654,118,26,26,0.2826086956521739
126,170,44,44,0.3492063492063492,152,26,26,0.20634920634920634,159,33,33,0.2619047619047619,141,15,15,0.11904761904761904,180,54,54,0.42857142857142855,141,15,15,0.11904761904761904,149,23,23,0.18253968253968253,138,12,12,0.09523809523809523,160,34,34,0.2698412698412698
49,62,13,13,0.2653061224489796,51,2,2,0.04081632653061224,58,9,9,0.1836734693877551,52,3,3,0.061224489795918366,49,0,0,0.0,54,5,5,0.10204081632653061,54,5,5,0.10204081632653061,60,11,11,0.22448979591836735,57,8,8,0.16326530612244897
217,323,106,106,0.48847926267281105,247,30,30,0.1382488479262673,251,34,34,0.15668202764976957,236,19,19,0.08755760368663594,278,61,61,0.28110599078341014,253,36,36,0.16589861751152074,255,38,38,0.17511520737327188,252,35,35,0.16129032258064516,265,48,48,0.22119815668202766
183,226,43,43,0.23497267759562843,214,31,31,0.16939890710382513,210,27,27,0.14754098360655737,208,25,25,0.1366120218579235,236,53,53,0.2896174863387978,219,36,36,0.19672131147540983,222,39,39,0.21311475409836064,229,46,46,0.25136612021857924,235,52,52,0.28415300546448086
68,90,22,22,0.3235294117647059,82,14,14,0.20588235294117646,81,13,13,0.19117647058823528,88,20,20,0.29411764705882354,84,16,16,0.23529411764705882,98,30,30,0.4411764705882353,97,29,29,0.4264705882352941,84,16,16,0.23529411764705882,84,16,16,0.23529411764705882
123,130,7,7,0.056910569105691054,124,1,1,0.008130081300813009,126,3,3,0.024390243902439025,112,-11,11,0.08943089430894309,124,1,1,0.008130081300813009,130,7,7,0.056910569105691054,127,4,4,0.032520325203252036,126,3,3,0.024390243902439025,124,1,1,0.008130081300813009
131,153,22,22,0.16793893129770993,139,8,8,0.061068702290076333,135,4,4,0.030534351145038167,123,-8,8,0.061068702290076333,119,-12,12,0.0916030534351145,140,9,9,0.06870229007633588,138,7,7,0.05343511450381679,136,5,5,0.03816793893129771,128,-3,3,0.022900763358778626
127,160,33,33,0.25984251968503935,133,6,6,0.047244094488188976,125,-2,2,0.015748031496062992,142,15,15,0.11811023622047244,152,25,25,0.1968503937007874,134,7,7,0.05511811023622047,160,33,33,0.25984251968503935,141,14,14,0.11023622047244094,145,18,18,0.14173228346456693
147,178,31,31,0.2108843537414966,157,10,10,0.06802721088435375,136,-11,11,0.07482993197278912,167,20,20,0.1360544217687075,174,27,27,0.1836734693877551,158,11,11,0.07482993197278912,142,-5,5,0.034013605442176874,173,26,26,0.17687074829931973,154,7,7,0.047619047619047616
