len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_perbmt1,diff_perbmt1,absdiff_perbmt1,nabsdiff_perbmt1,        len_perbmt2,diff_perbmt2,absdiff_perbmt2,nabsdiff_perbmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_rbmt1,diff_rbmt1,absdiff_rbmt1,nabsdiff_rbmt1,        len_rbmt2,diff_rbmt2,absdiff_rbmt2,nabsdiff_rbmt2        
61,88,27,27,0.4426229508196721,78,17,17,0.2786885245901639,84,23,23,0.3770491803278688,69,8,8,0.13114754098360656,82,21,21,0.3442622950819672,66,5,5,0.08196721311475409,73,12,12,0.19672131147540983,68,7,7,0.11475409836065574,77,16,16,0.26229508196721313
330,313,-17,17,0.051515151515151514,302,-28,28,0.08484848484848485,306,-24,24,0.07272727272727272,321,-9,9,0.02727272727272727,317,-13,13,0.03939393939393939,317,-13,13,0.03939393939393939,288,-42,42,0.12727272727272726,327,-3,3,0.00909090909090909,324,-6,6,0.01818181818181818
110,104,-6,6,0.05454545454545454,125,15,15,0.13636363636363635,126,16,16,0.14545454545454545,116,6,6,0.05454545454545454,123,13,13,0.11818181818181818,116,6,6,0.05454545454545454,104,-6,6,0.05454545454545454,118,8,8,0.07272727272727272,122,12,12,0.10909090909090909
138,156,18,18,0.13043478260869565,154,16,16,0.11594202898550725,141,3,3,0.021739130434782608,154,16,16,0.11594202898550725,153,15,15,0.10869565217391304,146,8,8,0.057971014492753624,122,-16,16,0.11594202898550725,147,9,9,0.06521739130434782,165,27,27,0.1956521739130435
156,173,17,17,0.10897435897435898,146,-10,10,0.0641025641025641,137,-19,19,0.12179487179487179,162,6,6,0.038461538461538464,161,5,5,0.03205128205128205,153,-3,3,0.019230769230769232,130,-26,26,0.16666666666666666,166,10,10,0.0641025641025641,173,17,17,0.10897435897435898
85,85,0,0,0.0,99,14,14,0.16470588235294117,94,9,9,0.10588235294117647,90,5,5,0.058823529411764705,94,9,9,0.10588235294117647,105,20,20,0.23529411764705882,75,-10,10,0.11764705882352941,96,11,11,0.12941176470588237,110,25,25,0.29411764705882354
88,130,42,42,0.4772727272727273,79,-9,9,0.10227272727272728,79,-9,9,0.10227272727272728,86,-2,2,0.022727272727272728,75,-13,13,0.14772727272727273,64,-24,24,0.2727272727272727,58,-30,30,0.3409090909090909,75,-13,13,0.14772727272727273,84,-4,4,0.045454545454545456
125,154,29,29,0.232,147,22,22,0.176,152,27,27,0.216,146,21,21,0.168,141,16,16,0.128,134,9,9,0.072,149,24,24,0.192,146,21,21,0.168,138,13,13,0.104
114,131,17,17,0.14912280701754385,120,6,6,0.05263157894736842,134,20,20,0.17543859649122806,118,4,4,0.03508771929824561,126,12,12,0.10526315789473684,104,-10,10,0.08771929824561403,120,6,6,0.05263157894736842,133,19,19,0.16666666666666666,146,32,32,0.2807017543859649
42,61,19,19,0.4523809523809524,50,8,8,0.19047619047619047,50,8,8,0.19047619047619047,45,3,3,0.07142857142857142,63,21,21,0.5,41,-1,1,0.023809523809523808,35,-7,7,0.16666666666666666,49,7,7,0.16666666666666666,42,0,0,0.0
270,339,69,69,0.25555555555555554,307,37,37,0.13703703703703704,310,40,40,0.14814814814814814,302,32,32,0.11851851851851852,303,33,33,0.12222222222222222,268,-2,2,0.007407407407407408,294,24,24,0.08888888888888889,319,49,49,0.1814814814814815,316,46,46,0.17037037037037037
73,86,13,13,0.1780821917808219,107,34,34,0.4657534246575342,107,34,34,0.4657534246575342,108,35,35,0.4794520547945205,105,32,32,0.4383561643835616,95,22,22,0.3013698630136986,94,21,21,0.2876712328767123,107,34,34,0.4657534246575342,106,33,33,0.4520547945205479
81,95,14,14,0.1728395061728395,123,42,42,0.5185185185185185,111,30,30,0.37037037037037035,100,19,19,0.2345679012345679,99,18,18,0.2222222222222222,87,6,6,0.07407407407407407,88,7,7,0.08641975308641975,98,17,17,0.20987654320987653,101,20,20,0.24691358024691357
35,32,-3,3,0.08571428571428572,26,-9,9,0.2571428571428571,29,-6,6,0.17142857142857143,29,-6,6,0.17142857142857143,31,-4,4,0.11428571428571428,26,-9,9,0.2571428571428571,30,-5,5,0.14285714285714285,28,-7,7,0.2,31,-4,4,0.11428571428571428
