len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_penmt1,diff_penmt1,absdiff_penmt1,nabsdiff_penmt1,        len_penmt2,diff_penmt2,absdiff_penmt2,nabsdiff_penmt2,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_pesmt3,diff_pesmt3,absdiff_pesmt3,nabsdiff_pesmt3,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_smt3,diff_smt3,absdiff_smt3,nabsdiff_smt3        
94,98,4,4,0.0425531914893617,98,4,4,0.0425531914893617,109,15,15,0.1595744680851064,104,10,10,0.10638297872340426,110,16,16,0.1702127659574468,98,4,4,0.0425531914893617,96,2,2,0.02127659574468085,101,7,7,0.07446808510638298,103,9,9,0.09574468085106383,106,12,12,0.1276595744680851,88,-6,6,0.06382978723404255
34,33,-1,1,0.029411764705882353,33,-1,1,0.029411764705882353,33,-1,1,0.029411764705882353,31,-3,3,0.08823529411764706,33,-1,1,0.029411764705882353,35,1,1,0.029411764705882353,33,-1,1,0.029411764705882353,33,-1,1,0.029411764705882353,31,-3,3,0.08823529411764706,33,-1,1,0.029411764705882353,35,1,1,0.029411764705882353
292,345,53,53,0.1815068493150685,327,35,35,0.11986301369863013,352,60,60,0.2054794520547945,336,44,44,0.1506849315068493,341,49,49,0.1678082191780822,333,41,41,0.1404109589041096,326,34,34,0.11643835616438356,322,30,30,0.10273972602739725,327,35,35,0.11986301369863013,322,30,30,0.10273972602739725,304,12,12,0.0410958904109589
99,114,15,15,0.15151515151515152,102,3,3,0.030303030303030304,102,3,3,0.030303030303030304,120,21,21,0.21212121212121213,107,8,8,0.08080808080808081,96,-3,3,0.030303030303030304,102,3,3,0.030303030303030304,102,3,3,0.030303030303030304,112,13,13,0.13131313131313133,107,8,8,0.08080808080808081,96,-3,3,0.030303030303030304
232,280,48,48,0.20689655172413793,247,15,15,0.06465517241379311,255,23,23,0.09913793103448276,252,20,20,0.08620689655172414,267,35,35,0.15086206896551724,254,22,22,0.09482758620689655,247,15,15,0.06465517241379311,238,6,6,0.02586206896551724,258,26,26,0.11206896551724138,262,30,30,0.12931034482758622,247,15,15,0.06465517241379311
217,234,17,17,0.07834101382488479,221,4,4,0.018433179723502304,212,-5,5,0.02304147465437788,229,12,12,0.055299539170506916,243,26,26,0.11981566820276497,212,-5,5,0.02304147465437788,224,7,7,0.03225806451612903,211,-6,6,0.027649769585253458,230,13,13,0.059907834101382486,230,13,13,0.059907834101382486,185,-32,32,0.14746543778801843
44,50,6,6,0.13636363636363635,47,3,3,0.06818181818181818,49,5,5,0.11363636363636363,49,5,5,0.11363636363636363,47,3,3,0.06818181818181818,52,8,8,0.18181818181818182,49,5,5,0.11363636363636363,49,5,5,0.11363636363636363,48,4,4,0.09090909090909091,49,5,5,0.11363636363636363,48,4,4,0.09090909090909091
150,163,13,13,0.08666666666666667,158,8,8,0.05333333333333334,182,32,32,0.21333333333333335,154,4,4,0.02666666666666667,155,5,5,0.03333333333333333,155,5,5,0.03333333333333333,153,3,3,0.02,151,1,1,0.006666666666666667,154,4,4,0.02666666666666667,159,9,9,0.06,167,17,17,0.11333333333333333
146,133,-13,13,0.08904109589041095,151,5,5,0.03424657534246575,147,1,1,0.00684931506849315,160,14,14,0.0958904109589041,165,19,19,0.13013698630136986,148,2,2,0.0136986301369863,151,5,5,0.03424657534246575,147,1,1,0.00684931506849315,160,14,14,0.0958904109589041,165,19,19,0.13013698630136986,144,-2,2,0.0136986301369863
180,245,65,65,0.3611111111111111,206,26,26,0.14444444444444443,184,4,4,0.022222222222222223,219,39,39,0.21666666666666667,219,39,39,0.21666666666666667,183,3,3,0.016666666666666666,200,20,20,0.1111111111111111,195,15,15,0.08333333333333333,217,37,37,0.20555555555555555,215,35,35,0.19444444444444445,162,-18,18,0.1
51,55,4,4,0.0784313725490196,57,6,6,0.11764705882352941,47,-4,4,0.0784313725490196,47,-4,4,0.0784313725490196,51,0,0,0.0,53,2,2,0.0392156862745098,57,6,6,0.11764705882352941,46,-5,5,0.09803921568627451,47,-4,4,0.0784313725490196,51,0,0,0.0,40,-11,11,0.21568627450980393
78,90,12,12,0.15384615384615385,99,21,21,0.2692307692307692,89,11,11,0.14102564102564102,100,22,22,0.28205128205128205,95,17,17,0.21794871794871795,91,13,13,0.16666666666666666,96,18,18,0.23076923076923078,89,11,11,0.14102564102564102,85,7,7,0.08974358974358974,94,16,16,0.20512820512820512,74,-4,4,0.05128205128205128
83,98,15,15,0.18072289156626506,103,20,20,0.24096385542168675,102,19,19,0.2289156626506024,103,20,20,0.24096385542168675,109,26,26,0.3132530120481928,101,18,18,0.21686746987951808,107,24,24,0.2891566265060241,95,12,12,0.14457831325301204,102,19,19,0.2289156626506024,114,31,31,0.37349397590361444,96,13,13,0.1566265060240964
21,55,34,34,1.619047619047619,31,10,10,0.47619047619047616,30,9,9,0.42857142857142855,34,13,13,0.6190476190476191,58,37,37,1.7619047619047619,31,10,10,0.47619047619047616,31,10,10,0.47619047619047616,20,-1,1,0.047619047619047616,17,-4,4,0.19047619047619047,26,5,5,0.23809523809523808,27,6,6,0.2857142857142857
41,46,5,5,0.12195121951219512,60,19,19,0.4634146341463415,49,8,8,0.1951219512195122,54,13,13,0.3170731707317073,45,4,4,0.0975609756097561,55,14,14,0.34146341463414637,50,9,9,0.21951219512195122,37,-4,4,0.0975609756097561,47,6,6,0.14634146341463414,47,6,6,0.14634146341463414,53,12,12,0.2926829268292683
40,51,11,11,0.275,50,10,10,0.25,50,10,10,0.25,41,1,1,0.025,52,12,12,0.3,41,1,1,0.025,52,12,12,0.3,50,10,10,0.25,50,10,10,0.25,43,3,3,0.075,51,11,11,0.275
